value,date
1.136230,23:19:47
1.136230,23:19:47
1.136230,23:19:47
1.136230,23:19:48
1.136230,23:19:48
1.136230,23:19:48
1.136230,23:19:48
1.136230,23:19:48
1.136230,23:19:49
1.136230,23:19:49
1.136230,23:19:49
1.136230,23:19:49
1.136230,23:19:49
1.136230,23:19:49
1.136230,23:19:50
1.136230,23:19:50
1.136230,23:19:50
1.136230,23:19:50
1.136230,23:19:50
1.136230,23:19:51
1.136230,23:19:51
1.136230,23:19:51
1.136230,23:19:51
1.136230,23:19:51
1.136230,23:19:52
1.136230,23:19:52
1.136232,23:19:52
1.136235,23:19:52
1.136235,23:19:52
1.136235,23:19:53
1.136235,23:19:53
1.136235,23:19:53
1.136235,23:19:53
1.136235,23:19:53
1.136240,23:19:54
1.136240,23:19:54
1.136240,23:19:54
1.136240,23:19:54
1.136240,23:19:54
1.136240,23:19:55
1.136235,23:19:55
1.136235,23:19:55
1.136235,23:19:55
1.136235,23:19:55
1.136235,23:19:55
1.136235,23:19:56
1.136235,23:19:56
1.136235,23:19:56
1.136235,23:19:56
1.136235,23:19:56
1.136235,23:19:57
1.136235,23:19:57
1.136235,23:19:57
1.136235,23:19:58
1.136235,23:19:58
1.136235,23:19:59
1.136235,23:19:59
1.136252,23:19:59
1.136280,23:19:59
1.136282,23:20:00
1.136280,23:20:00
1.136280,23:20:00
1.136280,23:20:00
1.136280,23:20:00
1.136280,23:20:01
1.136272,23:20:01
1.136253,23:20:01
1.136250,23:20:02
1.136260,23:20:02
1.136268,23:20:02
1.136275,23:20:02
1.136275,23:20:02
1.136275,23:20:03
1.136275,23:20:03
1.136275,23:20:03
1.136275,23:20:03
1.136275,23:20:03
1.136279,23:20:04
1.136275,23:20:04
1.136270,23:20:04
1.136270,23:20:04
1.136270,23:20:04
1.136270,23:20:04
1.136278,23:20:05
1.136280,23:20:05
1.136280,23:20:05
1.136280,23:20:05
1.136276,23:20:05
1.136280,23:20:06
1.136280,23:20:06
1.136280,23:20:06
1.136280,23:20:06
1.136280,23:20:06
1.136280,23:20:07
1.136280,23:20:07
1.136280,23:20:07
1.136280,23:20:07
1.136280,23:20:07
1.136280,23:20:07
1.136280,23:20:08
1.136280,23:20:08
1.136280,23:20:08
1.136280,23:20:08
1.136280,23:20:08
1.136280,23:20:09
1.136280,23:20:09
1.136280,23:20:09
1.136280,23:20:09
1.136280,23:20:09
1.136280,23:20:10
1.136280,23:20:10
1.136280,23:20:10
1.136280,23:20:10
1.136280,23:20:10
1.136280,23:20:11
1.136280,23:20:11
1.136280,23:20:11
1.136280,23:20:11
1.136280,23:20:11
1.136280,23:20:11
1.136280,23:20:12
1.136280,23:20:12
1.136280,23:20:12
1.136280,23:20:12
1.136280,23:20:12
1.136280,23:20:13
1.136280,23:20:13
1.136285,23:20:13
1.136285,23:20:13
1.136285,23:20:13
1.136285,23:20:14
1.136285,23:20:14
1.136285,23:20:14
1.136285,23:20:14
1.136285,23:20:14
1.136285,23:20:15
1.136285,23:20:15
1.136285,23:20:15
1.136285,23:20:15
1.136285,23:20:15
1.136285,23:20:15
1.136285,23:20:16
1.136285,23:20:16
1.136285,23:20:16
1.136285,23:20:16
1.136285,23:20:16
1.136285,23:20:17
1.136285,23:20:17
1.136285,23:20:17
1.136285,23:20:17
1.136285,23:20:17
1.136285,23:20:18
1.136285,23:20:18
1.136285,23:20:18
1.136285,23:20:18
1.136285,23:20:18
1.136285,23:20:19
1.136285,23:20:19
1.136285,23:20:19
1.136285,23:20:19
1.136285,23:20:19
1.136285,23:20:19
1.136285,23:20:20
1.136285,23:20:20
1.136285,23:20:20
1.136285,23:20:20
1.136285,23:20:20
1.136285,23:20:21
1.136285,23:20:21
1.136285,23:20:21
1.136285,23:20:21
1.136285,23:20:21
1.136285,23:20:22
1.136285,23:20:22
1.136285,23:20:22
1.136285,23:20:22
1.136285,23:20:22
1.136285,23:20:23
1.136285,23:20:23
1.136285,23:20:23
1.136285,23:20:23
1.136285,23:20:23
1.136285,23:20:24
1.136285,23:20:24
1.136285,23:20:24
1.136285,23:20:24
1.136285,23:20:24
1.136285,23:20:24
1.136285,23:20:25
1.136285,23:20:25
1.136285,23:20:25
1.136285,23:20:25
1.136285,23:20:25
1.136285,23:20:26
1.136285,23:20:26
1.136285,23:20:26
1.136290,23:20:26
1.136290,23:20:26
1.136290,23:20:27
1.136309,23:20:27
1.136318,23:20:27
1.136327,23:20:27
1.136335,23:20:27
1.136335,23:20:28
1.136335,23:20:28
1.136335,23:20:28
1.136337,23:20:28
1.136340,23:20:28
1.136340,23:20:29
1.136335,23:20:29
1.136335,23:20:29
1.136335,23:20:29
1.136335,23:20:29
1.136344,23:20:30
1.136345,23:20:30
1.136345,23:20:30
1.136345,23:20:30
1.136345,23:20:30
1.136345,23:20:31
1.136345,23:20:31
1.136345,23:20:31
1.136345,23:20:31
1.136345,23:20:32
1.136345,23:20:32
1.136345,23:20:32
1.136345,23:20:32
1.136345,23:20:32
1.136345,23:20:32
1.136345,23:20:33
1.136350,23:20:33
1.136350,23:20:33
1.136350,23:20:33
1.136352,23:20:34
1.136345,23:20:34
1.136345,23:20:34
1.136345,23:20:34
1.136345,23:20:34
1.136345,23:20:34
1.136350,23:20:35
1.136350,23:20:35
1.136350,23:20:35
1.136350,23:20:35
1.136350,23:20:35
1.136350,23:20:36
1.136350,23:20:36
1.136345,23:20:36
1.136345,23:20:36
1.136345,23:20:36
1.136345,23:20:37
1.136345,23:20:37
1.136345,23:20:37
1.136345,23:20:37
1.136345,23:20:37
1.136345,23:20:38
1.136345,23:20:38
1.136345,23:20:38
1.136345,23:20:38
1.136345,23:20:38
1.136345,23:20:39
1.136345,23:20:39
1.136345,23:20:39
1.136345,23:20:39
1.136345,23:20:39
1.136345,23:20:39
1.136345,23:20:40
1.136345,23:20:40
1.136345,23:20:40
1.136345,23:20:40
1.136345,23:20:40
1.136345,23:20:41
1.136345,23:20:41
1.136345,23:20:41
1.136345,23:20:41
1.136345,23:20:41
1.136345,23:20:42
1.136345,23:20:42
1.136345,23:20:42
1.136345,23:20:42
1.136345,23:20:42
1.136345,23:20:43
1.136340,23:20:43
1.136340,23:20:43
1.136340,23:20:43
1.136340,23:20:43
1.136340,23:20:44
1.136340,23:20:44
1.136340,23:20:44
1.136340,23:20:44
1.136340,23:20:44
1.136340,23:20:44
1.136340,23:20:45
1.136340,23:20:45
1.136340,23:20:45
1.136340,23:20:45
1.136340,23:20:46
1.136340,23:20:46
1.136342,23:20:46
1.136355,23:20:46
1.136355,23:20:46
1.136355,23:20:47
1.136355,23:20:47
1.136350,23:20:47
1.136350,23:20:47
1.136350,23:20:47
1.136350,23:20:48
1.136350,23:20:48
1.136350,23:20:48
1.136350,23:20:48
1.136355,23:20:48
1.136350,23:20:48
1.136350,23:20:49
1.136350,23:20:49
1.136350,23:20:49
1.136350,23:20:49
1.136350,23:20:49
1.136350,23:20:50
1.136350,23:20:50
1.136350,23:20:50
1.136350,23:20:50
1.136350,23:20:50
1.136350,23:20:51
1.136350,23:20:51
1.136350,23:20:51
1.136350,23:20:51
1.136350,23:20:51
1.136350,23:20:52
1.136350,23:20:52
1.136356,23:20:52
1.136360,23:20:52
1.136360,23:20:52
1.136360,23:20:52
1.136360,23:20:53
1.136360,23:20:53
1.136360,23:20:53
1.136360,23:20:53
1.136359,23:20:53
1.136359,23:20:54
1.136363,23:20:54
1.136355,23:20:54
1.136355,23:20:54
1.136355,23:20:54
1.136355,23:20:55
1.136355,23:20:55
1.136355,23:20:55
1.136355,23:20:55
1.136355,23:20:55
1.136355,23:20:56
1.136355,23:20:56
1.136355,23:20:56
1.136355,23:20:56
1.136355,23:20:56
1.136355,23:20:56
1.136355,23:20:57
1.136355,23:20:57
1.136355,23:20:57
1.136355,23:20:57
1.136355,23:20:57
1.136355,23:20:58
1.136355,23:20:58
1.136350,23:20:58
1.136350,23:20:58
1.136350,23:20:58
1.136350,23:20:59
1.136350,23:20:59
1.136350,23:20:59
1.136350,23:20:59
1.136350,23:20:59
1.136350,23:21:00
1.136350,23:21:00
1.136350,23:21:00
1.136350,23:21:00
1.136350,23:21:00
1.136350,23:21:01
1.136350,23:21:01
1.136350,23:21:01
1.136350,23:21:01
1.136350,23:21:01
1.136350,23:21:01
1.136350,23:21:02
1.136350,23:21:02
1.136350,23:21:02
1.136350,23:21:02
1.136350,23:21:02
1.136350,23:21:03
1.136350,23:21:03
1.136350,23:21:03
1.136350,23:21:03
1.136350,23:21:03
1.136350,23:21:04
1.136350,23:21:04
1.136350,23:21:04
1.136350,23:21:04
1.136350,23:21:04
1.136350,23:21:05
1.136350,23:21:05
1.136350,23:21:05
1.136350,23:21:05
1.136350,23:21:05
1.136350,23:21:06
1.136350,23:21:06
1.136350,23:21:06
1.136350,23:21:06
1.136350,23:21:06
1.136350,23:21:07
1.136350,23:21:07
1.136350,23:21:07
1.136350,23:21:07
1.136350,23:21:07
1.136350,23:21:08
1.136350,23:21:08
1.136350,23:21:08
1.136350,23:21:08
1.136350,23:21:08
1.136350,23:21:09
1.136350,23:21:09
1.136350,23:21:09
1.136350,23:21:09
1.136350,23:21:09
1.136350,23:21:09
1.136350,23:21:10
1.136350,23:21:10
1.136350,23:21:10
1.136350,23:21:10
1.136350,23:21:10
1.136350,23:21:11
1.136350,23:21:11
1.136350,23:21:11
1.136350,23:21:11
1.136350,23:21:11
1.136350,23:21:12
1.136350,23:21:12
1.136350,23:21:12
1.136350,23:21:12
1.136350,23:21:12
1.136350,23:21:12
1.136350,23:21:13
1.136350,23:21:13
1.136350,23:21:13
1.136350,23:21:13
1.136350,23:21:13
1.136350,23:21:14
1.136350,23:21:14
1.136350,23:21:14
1.136350,23:21:14
1.136350,23:21:14
1.136350,23:21:14
1.136350,23:21:15
1.136350,23:21:15
1.136350,23:21:15
1.136350,23:21:15
1.136350,23:21:15
1.136350,23:21:16
1.136350,23:21:16
1.136350,23:21:16
1.136350,23:21:16
1.136350,23:21:16
1.136350,23:21:17
1.136350,23:21:17
1.136350,23:21:17
1.136350,23:21:17
1.136350,23:21:17
1.136350,23:21:17
1.136350,23:21:18
1.136350,23:21:18
1.136350,23:21:18
1.136350,23:21:18
1.136350,23:21:18
1.136350,23:21:19
1.136350,23:21:19
1.136350,23:21:19
1.136350,23:21:19
1.136350,23:21:19
1.136350,23:21:20
1.136350,23:21:20
1.136350,23:21:20
1.136350,23:21:20
1.136350,23:21:20
1.136350,23:21:20
1.136350,23:21:21
1.136350,23:21:21
1.136350,23:21:21
1.136350,23:21:21
1.136350,23:21:21
1.136350,23:21:22
1.136350,23:21:22
1.136350,23:21:22
1.136350,23:21:22
1.136350,23:21:22
1.136350,23:21:23
1.136350,23:21:23
1.136350,23:21:23
1.136350,23:21:23
1.136350,23:21:23
1.136350,23:21:24
1.136350,23:21:24
1.136350,23:21:24
1.136350,23:21:24
1.136350,23:21:24
1.136350,23:21:24
1.136350,23:21:25
1.136350,23:21:25
1.136350,23:21:25
1.136350,23:21:25
1.136350,23:21:25
1.136350,23:21:26
1.136350,23:21:26
1.136350,23:21:26
1.136350,23:21:26
1.136350,23:21:26
1.136350,23:21:27
1.136350,23:21:27
1.136350,23:21:27
1.136350,23:21:27
1.136350,23:21:27
1.136350,23:21:27
1.136350,23:21:28
1.136350,23:21:28
1.136350,23:21:28
1.136350,23:21:28
1.136350,23:21:28
1.136345,23:21:29
1.136345,23:21:29
1.136345,23:21:29
1.136345,23:21:29
1.136345,23:21:29
1.136345,23:21:29
1.136345,23:21:30
1.136345,23:21:30
1.136345,23:21:30
1.136345,23:21:30
1.136345,23:21:30
1.136345,23:21:31
1.136345,23:21:31
1.136345,23:21:31
1.136345,23:21:31
1.136345,23:21:31
1.136345,23:21:32
1.136345,23:21:32
1.136345,23:21:32
1.136345,23:21:32
1.136345,23:21:32
1.136345,23:21:33
1.136345,23:21:33
1.136345,23:21:33
1.136345,23:21:33
1.136345,23:21:33
1.136345,23:21:33
1.136345,23:21:34
1.136345,23:21:34
1.136345,23:21:34
1.136345,23:21:34
1.136345,23:21:34
1.136345,23:21:35
1.136345,23:21:35
1.136345,23:21:35
1.136345,23:21:35
1.136345,23:21:35
1.136345,23:21:35
1.136345,23:21:36
1.136345,23:21:36
1.136345,23:21:36
1.136345,23:21:36
1.136345,23:21:36
1.136345,23:21:37
1.136345,23:21:37
1.136345,23:21:37
1.136345,23:21:37
1.136345,23:21:37
1.136345,23:21:38
1.136345,23:21:38
1.136345,23:21:38
1.136345,23:21:38
1.136345,23:21:38
1.136345,23:21:39
1.136345,23:21:39
1.136345,23:21:39
1.136345,23:21:39
1.136345,23:21:39
1.136345,23:21:39
1.136345,23:21:40
1.136345,23:21:40
1.136340,23:21:40
1.136344,23:21:40
1.136350,23:21:40
1.136350,23:21:41
1.136350,23:21:41
1.136350,23:21:41
1.136350,23:21:41
1.136350,23:21:41
1.136350,23:21:42
1.136350,23:21:42
1.136350,23:21:42
1.136350,23:21:42
1.136350,23:21:42
1.136350,23:21:42
1.136350,23:21:43
1.136350,23:21:43
1.136350,23:21:43
1.136350,23:21:43
1.136350,23:21:43
1.136350,23:21:44
1.136350,23:21:44
1.136350,23:21:44
1.136350,23:21:44
1.136350,23:21:45
1.136350,23:21:45
1.136350,23:21:45
1.136350,23:21:45
1.136350,23:21:45
1.136350,23:21:46
1.136350,23:21:46
1.136350,23:21:46
1.136350,23:21:46
1.136350,23:21:46
1.136345,23:21:47
1.136345,23:21:47
1.136345,23:21:47
1.136345,23:21:47
1.136345,23:21:47
1.136345,23:21:47
1.136345,23:21:48
1.136345,23:21:48
1.136345,23:21:48
1.136345,23:21:48
1.136345,23:21:48
1.136345,23:21:49
1.136345,23:21:49
1.136345,23:21:49
1.136345,23:21:49
1.136345,23:21:49
1.136345,23:21:50
1.136345,23:21:50
1.136345,23:21:50
1.136345,23:21:50
1.136345,23:21:50
1.136345,23:21:50
1.136345,23:21:51
1.136345,23:21:51
1.136345,23:21:51
1.136345,23:21:51
1.136345,23:21:51
1.136338,23:21:52
1.136335,23:21:52
1.136335,23:21:52
1.136335,23:21:52
1.136334,23:21:52
1.136330,23:21:53
1.136330,23:21:53
1.136330,23:21:53
1.136332,23:21:53
1.136340,23:21:53
1.136344,23:21:53
1.136350,23:21:54
1.136350,23:21:54
1.136350,23:21:54
1.136350,23:21:54
1.136350,23:21:54
1.136350,23:21:55
1.136350,23:21:55
1.136350,23:21:55
1.136350,23:21:55
1.136350,23:21:55
1.136350,23:21:56
1.136350,23:21:56
1.136350,23:21:56
1.136350,23:21:56
1.136350,23:21:56
1.136350,23:21:57
1.136350,23:21:57
1.136350,23:21:57
1.136350,23:21:57
1.136350,23:21:57
1.136350,23:21:57
1.136350,23:21:58
1.136350,23:21:58
1.136350,23:21:58
1.136350,23:21:58
1.136350,23:21:59
1.136350,23:21:59
1.136350,23:21:59
1.136350,23:21:59
1.136350,23:21:59
1.136350,23:21:59
1.136350,23:22:00
1.136350,23:22:00
1.136350,23:22:00
1.136350,23:22:00
1.136350,23:22:00
1.136350,23:22:01
1.136350,23:22:01
1.136350,23:22:01
1.136350,23:22:01
1.136350,23:22:01
1.136350,23:22:02
1.136350,23:22:02
1.136350,23:22:02
1.136350,23:22:02
1.136350,23:22:02
1.136350,23:22:03
1.136350,23:22:03
1.136350,23:22:03
1.136350,23:22:03
1.136350,23:22:03
1.136350,23:22:03
1.136350,23:22:04
1.136350,23:22:04
1.136350,23:22:04
1.136350,23:22:04
1.136350,23:22:04
1.136350,23:22:05
1.136350,23:22:05
1.136350,23:22:05
1.136350,23:22:05
1.136350,23:22:05
1.136350,23:22:06
1.136350,23:22:06
1.136350,23:22:06
1.136350,23:22:06
